,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,WATER_MA,WATER_VOL,LIQOUT_MA,LIQOUT_VOL,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,Required WOS(kg/h)
0,0.773362683,0.541381012,13283.0258,96.1723794,13670.6674,9.9254694,7.10706705,-17.1735148,0.311051479,0.00715075119,0.743617964,0.0124464061,0.262019078,0.00444470521,0.652264146,0.826128319,0.000116929295,0.66912311,2.1069379e-87,1.88210762e-79,4.6457485,2.82368976e-81,0.00263456892,0.0472244903,0.029744718558875866
0,2.99896589,2.09938135,51506.3283,372.704781,53009.7151,38.3176042,27.5604513,-66.5614497,1.20790639,0.0278227307,2.88362105,0.0482649969,1.01665039,0.0172562436,2.52855037,3.2035802,0.000132214365,2.59466221,5.72299426e-87,7.33747677e-79,18.0154035,1.09415076e-80,0.010216399,0.184245243,0.11534484204802173
0,5.29990272,3.71011786,91024.2939,658.578551,93680.7081,68.7136283,48.7040869,-117.643085,2.13236395,0.0493265961,5.09606031,0.0852959979,1.79617273,0.0304582845,4.46905833,5.6615102,0.000122171879,4.58537238,2.20473627e-87,1.29111073e-78,31.837605,1.93601144e-80,0.0180548661,0.323801493,0.20384241220577276
0,7.67707341,5.37422074,131850.337,953.933616,135691.324,99.7339729,70.5489725,-170.409925,3.08839195,0.0715249773,7.38180135,0.123553897,2.6018538,0.044111886,6.47362822,8.20087429,0.00012522295,6.64204128,2.55498772e-87,1.8689236e-78,46.1177585,2.80510083e-80,0.026153034,0.468591243,0.2952720540898388
0,10.1312273,7.09221458,174011.984,1259.10009,179073.784,131.864916,93.1010278,-224.918216,4.07396634,0.0942415772,9.74156472,0.163050756,3.43270343,0.0581921854,8.5438438,10.8224741,0.000465518417,8.76539864,2.87041694e-87,2.46339525e-78,60.8603659,3.70219736e-80,0.034513456,0.617578865,0.389662588739459
0,12.662957,8.86451421,217478.325,1573.40536,223819.522,164.71846,116.366625,-281.081588,5.09377303,0.118095416,12.1759202,0.20379611,4.29187887,0.0727523006,10.6779604,13.5269427,0.000122462806,10.9557014,3.69123057e-87,3.08090018e-78,76.0689874,4.62793068e-80,0.0431381512,0.772291615,0.48703680836742425
0,15.2727046,10.6914291,262297.287,1897.56578,269946.943,198.629628,140.349064,-338.996804,6.14413328,0.142532412,14.6852929,0.245797074,5.17684898,0.0877523942,12.8783129,16.314752,6.56220636e-07,13.2135586,4.50119117e-87,3.7164648e-78,91.7462782,5.58188234e-80,0.0520286251,0.931580891,0.587411716233808
0,17.9607749,12.5731726,308464.74,2231.64061,317461.567,233.606112,165.051134,-398.673575,7.22506643,0.167534634,17.2699759,0.289058554,6.08763616,0.103192152,15.1452144,19.1862275,0.000129374088,15.5392414,5.29935794e-87,4.3700799e-78,107.894069,6.56417391e-80,0.061185916,1.09544289,0.690799035009946
0,20.7273521,14.5098737,355983.169,2575.47642,366363.932,269.605636,190.474641,-460.093908,8.33754768,0.193263408,19.9301462,0.333583515,7.02500715,0.119082698,17.4783331,22.1415663,0.00026747413,17.9328487,6.11966751e-87,5.04275598e-78,124.513467,7.57514105e-80,0.0706106515,1.26408564,0.7972058481250415
0,23.5725171,16.501589,404843.314,2928.92219,416653.097,306.586621,216.620435,-523.239058,9.48243517,0.219865272,22.6658818,0.379373259,7.98963383,0.135433522,19.877293,25.1808553,0.000194607397,20.3943954,6.99492689e-87,5.73540963e-78,141.604959,8.6150728e-80,0.0803031082,1.43769522,0.9066352730959406
