,PUMP_BRAKE_POWER,COMP_BRAKE_POWER,HEAT1_HX_AREAC2,HEAT1_HX_DUTY,HEAT2_HX_AREAC2,HEAT2_HX_DUTY,COOL1_HX_AREAC2,COOL1_HX_DUTY,HX1_HX_AREAC2,HX1_HX_DUTY,HX2_HX_AREAC2,HX2_HX_DUTY,DRUM_BAL_MASI_TFL,SMR_QCALC,SMR_BAL_MASI_TFL,WGS_BAL_MASI_TFL,PSA_QCALC,PSA_BAL_MOLI_TFL,VSA_QCALC,VSA_BAL_MASI_TFL,VSA_BAL_MOLI_TFL,CH4,CO2,H2,H2O,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S3,S4,S5,S6,S7,S8,S9,S9-1,S9-2,S12_VOL,CO,CO2,H2
0,0.0560097598,2.13496171,0.0206463316,146.939073,0.0168456918,20.0863689,0.531025226,2644.99745,0.0572849881,1634.4238,0.0711719234,4045.85503,34.9442532,9695.80869,34.944253,34.944253,-12.6530137,2.23946072,-0.39503776,20.1817399,0.817457605,7.99804376,15.4648734,2.86658763,26.9462092,26.9462092,34.9442532,34.9442532,11.8959256,23.0483275,20.1817399,2.86658763,20.1817399,20.1817399,15.4648734,4.71686647,7.99804376,7.99804376,26.9462092,26.9462092,34.944253,34.944253,34.944253,34.9442532,34.9442532,0.0,0.200430273,0.280104,15.124293,0.0604764
0,0.054993347,2.09621842,0.0202658081,144.27256,0.0165390757,19.7239681,0.519521706,2596.10105,0.0562895815,1604.76381,0.0698803618,3972.43464,34.3101174,9519.85822,34.3101174,34.3101174,-12.4245555,2.19888344,-0.386067859,19.8165214,0.802634551,7.85290274,15.1928992,2.81467022,26.4572146,26.4572146,34.3101174,34.3101174,11.6789258,22.6311916,19.8165214,2.81467022,19.8165214,19.8165214,15.1928992,4.62362214,7.85290274,7.85290274,26.4572146,26.4572146,34.3101174,34.3101174,34.3101174,34.3101174,34.3101174,0.0,0.196774117,0.280104,14.8523188,0.0604764
0,0.0538882459,2.05409454,0.0198523315,141.373377,0.0162045646,19.327569,0.507273589,2543.94958,0.055157564,1572.51579,0.0684761035,3892.60786,33.6206494,9328.55498,33.6206494,33.6206494,-12.1748591,2.15469527,-0.3762642,19.4182848,0.786505243,7.69509726,14.8943904,2.7581069,25.9255522,25.9255522,33.6206494,33.6206494,11.4442578,22.1763917,19.4182848,2.7581069,19.4182848,19.4182848,14.8943904,4.52389441,7.69509726,7.69509726,25.9255522,25.9255522,33.6206494,33.6206494,33.6206494,33.6206494,33.6206494,0.0,0.192820278,0.280104,14.55381,0.0604764
0,0.0527477745,2.01062242,0.0194258937,138.381402,0.0158594503,18.9185038,0.494724461,2490.12041,0.0539897338,1539.23564,0.0670268999,3810.2261,32.9091141,9131.12879,32.9091141,32.9091141,-11.9171818,2.10909337,-0.366157569,19.0073117,0.769859801,7.53224099,14.5863509,2.69973417,25.3768731,25.3768731,32.9091141,32.9091141,11.2020682,21.7070459,19.0073117,2.69973417,19.0073117,19.0073117,14.5863509,4.42096084,7.53224099,7.53224099,25.3768731,25.3768731,32.9091141,32.9091141,32.9091141,32.9091141,32.9091141,0.0,0.188739711,0.280104,14.2457705,0.0604764
0,0.0516112246,1.96729978,0.0190011975,135.399714,0.0155156239,18.5108606,0.482309696,2436.46975,0.0528262433,1506.06991,0.0655826794,3728.12763,32.2000254,8934.38147,32.2000254,32.2000254,-11.660399,2.06364874,-0.356097094,18.5977593,0.753271679,7.36994471,14.2793889,2.64156291,24.8300807,24.8300807,32.2000254,32.2000254,10.9607032,21.2393223,18.5977593,2.64156291,18.5977593,18.5977593,14.2793889,4.31837047,7.36994471,7.36994471,24.8300807,24.8300807,32.2000254,32.2000254,32.2000254,32.2000254,32.2000254,0.0,0.184673037,0.280104,13.9388085,0.0604764
0,0.05049843,1.92488264,0.018585644,132.480348,0.0151790784,18.1117458,0.470242057,2383.93692,0.051687245,1473.59739,0.064168645,3647.74511,31.5057576,8741.74641,31.5057576,31.5057576,-11.4089879,2.0191542,-0.34625839,18.1967711,0.737030314,7.21104062,13.9788525,2.5846079,24.294717,24.294717,31.5057576,31.5057576,10.7243786,20.781379,18.1967711,2.5846079,18.1967711,18.1967711,13.9788525,4.2179186,7.21104062,7.21104062,24.294717,24.294717,31.5057576,31.5057576,31.5057576,31.5057576,31.5057576,0.0,0.180691286,0.280104,13.6382721,0.0604764
0,0.0494256717,1.88399159,0.0181852902,129.666015,0.0148547295,17.7269976,0.45868977,2333.29108,0.0505893758,1442.29318,0.0628054848,3570.2546,30.8364682,8556.04201,30.8364682,30.8364682,-11.1666259,1.9762607,-0.336785044,17.8102132,0.721373322,7.05785361,13.6891373,2.52970238,23.7786146,23.7786146,30.8364682,30.8364682,10.4965527,20.3399155,17.8102132,2.52970238,17.8102132,17.8102132,13.6891373,4.12107582,7.05785361,7.05785361,23.7786146,23.7786146,30.8364682,30.8364682,30.8364682,30.8364682,30.8364682,0.0,0.176852728,0.280104,13.3485569,0.0604764
0,0.0483999466,1.84489334,0.0178027174,126.975072,0.0145446803,17.3591214,0.447717883,2284.86425,0.0495397132,1412.36144,0.0615020901,3496.16153,30.1965226,8378.47948,30.1965226,30.1965226,-10.9348918,1.9352479,-0.327738009,17.4406048,0.706402802,6.91138281,13.4121283,2.47720426,23.2851398,23.2851398,30.1965226,30.1965226,10.2787136,19.9178091,17.4406048,2.47720426,17.4406048,17.4406048,13.4121283,4.02847655,6.91138281,6.91138281,23.2851398,23.2851398,30.1965226,30.1965226,30.1965226,30.1965226,30.1965226,0.0,0.173182433,0.280104,13.0715479,0.0604764
0,0.0474250771,1.80773358,0.0174393191,124.417546,0.0142500748,17.0094869,0.4373563,2238.83749,0.048542139,1383.91372,0.0602633178,3425.74201,29.5883057,8209.72054,29.5883057,29.5883057,-10.7146483,1.89626858,-0.319150005,17.0893228,0.692174535,6.77217406,13.148856,2.42730911,22.8161316,22.8161316,29.5883057,29.5883057,10.0716738,19.5166319,17.0893228,2.42730911,17.0893228,17.0893228,13.148856,3.94046684,6.77217406,6.77217406,22.8161316,22.8161316,29.5883057,29.5883057,29.5883057,29.5883057,29.5883057,0.0,0.169694093,0.280104,12.8082756,0.0604764
0,0.0465053131,1.77267432,0.0170966467,122.004586,0.0139721861,16.679618,0.42763904,2195.41144,0.0476010029,1357.07403,0.0590945683,3359.30301,29.0144687,8050.50085,29.0144687,29.0144687,-10.5068556,1.85949268,-0.31105733,16.7578985,0.678750546,6.64083421,12.9004681,2.38023445,22.3736345,22.3736345,29.0144687,29.0144687,9.87633584,19.1381329,16.7578985,2.38023445,16.7578985,16.7578985,12.9004681,3.85743032,6.64083421,6.64083421,22.3736345,22.3736345,29.0144687,29.0144687,29.0144687,29.0144687,29.0144687,0.0,0.166402912,0.280104,12.5598877,0.0604764
0,0.0280292488,1.06840974,0.0102507618,73.5334669,0.00840244231,10.0524405,0.243776997,1323.42966,0.0286782276,817.923012,0.0356169273,2024.6878,17.4873302,4852.12282,17.4873301,17.4873301,-6.33229564,1.12072,-0.151689285,10.099901,0.409087261,4.00250169,7.90991702,1.4345662,13.4848284,13.4848284,17.4873302,17.4873302,5.95286303,11.5344672,10.099901,1.4345662,10.099901,10.099901,7.90991702,2.18998394,4.00250169,4.00250169,13.4848284,13.4848284,17.4873301,17.4873301,17.4873301,17.4873302,17.4873302,0.0,0.100297698,0.280104,7.56933662,0.0604764
0,0.0289498518,1.10350098,0.0105901823,75.9486274,0.00867956111,10.3829927,0.252439097,1366.73228,0.0296282454,844.787178,0.0367867429,2091.18739,18.0616905,5011.48775,18.0616905,18.0616905,-6.54048791,1.15754077,-0.159416892,10.4318129,0.422525563,4.13396134,8.15898299,1.48170246,13.9277292,13.9277292,18.0616905,18.0616905,6.14817512,11.9135154,10.4318129,1.48170246,10.4318129,10.4318129,8.15898299,2.27282992,4.13396134,4.13396134,13.9277292,13.9277292,18.0616905,18.0616905,18.0616905,18.0616905,18.0616905,0.0,0.103588442,0.280104,7.81840259,0.0604764
0,0.0293126643,1.11733055,0.0107239974,76.9004495,0.0087900114,10.5156432,0.255717464,1382.78297,0.0300526802,855.374429,0.0372477708,2117.39509,18.2880477,5074.29395,18.2880477,18.2880477,-6.62384373,1.17212241,-0.162526268,10.5637737,0.427834523,4.18576999,8.25995056,1.50039507,14.1022777,14.1022777,18.2880477,18.2880477,6.22387895,12.0641688,10.5637737,1.50039507,10.5637737,10.5637737,8.25995056,2.30382315,4.18576999,4.18576999,14.1022777,14.1022777,18.2880477,18.2880477,18.2880477,18.2880477,18.2880477,0.0,0.104863947,0.280104,7.91937016,0.0604764
0,0.0293025928,1.11694665,0.0107202824,76.8740274,0.00878698064,10.5120297,0.255622043,1382.30782,0.0300423544,855.080532,0.0372349729,2116.66758,18.2817641,5072.55048,18.2817641,18.2817641,-6.62156791,1.17171969,-0.162441473,10.5601443,0.427687525,4.18433181,8.25723,1.49987957,14.0974323,14.0974323,18.2817641,18.2817641,6.22174028,12.0600238,10.5601443,1.49987957,10.5601443,10.5601443,8.25723,2.30291426,4.18433181,4.18433181,14.0974323,14.0974323,18.2817641,18.2817641,18.2817641,18.2817641,18.2817641,0.0,0.104827914,0.280104,7.9166496,0.0604764
0,0.0290321425,1.10663771,0.010620531,76.1645133,0.008705601,10.4150079,0.253062002,1369.54976,0.0297650765,847.188507,0.0368913102,2097.13165,18.1130313,5025.73303,18.1130313,18.1130313,-6.56045335,1.16090521,-0.160165679,10.4626784,0.423740151,4.14571223,8.18416211,1.4860363,13.9673191,13.9673191,18.1130313,18.1130313,6.16431659,11.9487147,10.4626784,1.4860363,10.4626784,10.4626784,8.18416211,2.27851632,4.14571223,4.14571223,13.9673191,13.9673191,18.1130313,18.1130313,18.1130313,18.1130313,18.1130313,0.0,0.103860402,0.280104,7.84358171,0.0604764
0,0.0286054362,1.09037266,0.0104631779,75.0450685,0.00857548804,10.2585653,0.249240105,1350.856,0.0292568869,834.736767,0.036349092,2066.30859,17.8468111,4951.86621,17.846811,17.846811,-6.46218116,1.14374287,-0.156504426,10.3072694,0.417493912,4.08477971,8.06490407,1.46403075,13.7620313,13.7620313,17.8468111,17.8468111,6.07551096,11.7713002,10.3072694,1.46403075,10.3072694,10.3072694,8.06490407,2.24236534,4.08477971,4.08477971,13.7620313,13.7620313,17.846811,17.846811,17.846811,17.8468111,17.8468111,0.0,0.10236415,0.280104,7.72432367,0.0604764
0,0.0280877368,1.07063917,0.0102723207,73.6869077,0.00842032063,10.0739759,0.244292864,1325.95296,0.0287497964,819.629755,0.0356912485,2028.91267,17.5238206,4862.24765,17.5238206,17.5238206,-6.34581597,1.12307513,-0.152191264,10.121247,0.409943919,4.01085363,7.92637172,1.43758694,13.512967,13.512967,17.5238206,17.5238206,5.96498662,11.558834,10.121247,1.43758694,10.121247,10.121247,7.92637172,2.1948753,4.01085363,4.01085363,13.512967,13.512967,17.5238206,17.5238206,17.5238206,17.5238206,17.5238206,0.0,0.100501964,0.280104,7.58579132,0.0604764
0,0.027521635,1.04906068,0.010063683,72.2017651,0.00825004535,9.87091441,0.238975273,1299.23819,0.028169883,803.110306,0.0349718996,1988.02041,17.170632,4764.25017,17.170632,17.170632,-6.21790528,1.10043915,-0.14746048,9.91724482,0.401681473,3.9300158,7.77345553,1.40861162,13.2406162,13.2406162,17.170632,17.170632,5.84477558,11.3258564,9.91724482,1.40861162,9.91724482,9.91724482,7.77345553,2.1437893,3.9300158,3.9300158,13.2406162,13.2406162,17.170632,17.170632,17.170632,17.170632,17.170632,0.0,0.0984765702,0.280104,7.43287513,0.0604764
0,0.0269404502,1.02690727,0.00984955562,70.6770531,0.00807526379,9.66245579,0.233533618,1271.80632,0.027574781,786.150722,0.0342333848,1946.03863,16.8080333,4663.6417,16.8080333,16.8080333,-6.08659344,1.07720044,-0.142619001,9.70781335,0.393198955,3.84702417,7.61647987,1.37886491,12.9610091,12.9610091,16.8080333,16.8080333,5.72135504,11.0866783,9.70781335,1.37886491,9.70781335,9.70781335,7.61647987,2.09133348,3.84702417,3.84702417,12.9610091,12.9610091,16.8080333,16.8080333,16.8080333,16.8080333,16.8080333,0.0,0.0963971009,0.280104,7.27589947,0.0604764
0,0.026358487,1.00472419,0.00963521158,69.1502989,0.00790027511,9.45372345,0.228102896,1244.33533,0.0269789986,769.168422,0.0334938808,1904.00062,16.4449489,4562.89847,16.4449489,16.4449489,-5.9551088,1.05393077,-0.137787267,9.49810406,0.384705105,3.76392138,7.45930052,1.34907862,12.6810275,12.6810275,16.4449489,16.4449489,5.59776622,10.8471827,9.49810406,1.34907862,9.49810406,9.49810406,7.45930052,2.03880354,3.76392138,3.76392138,12.6810275,12.6810275,16.4449489,16.4449489,16.4449489,16.4449489,16.4449489,0.0,0.0943147962,0.280104,7.11872012,0.0604764
0,0.0257898731,0.983049949,0.00942585204,67.6585661,0.00772932676,9.24978498,0.222814229,1217.49198,0.0263970059,752.57567,0.0327713398,1862.92689,16.0901931,4464.46614,16.0901931,16.0901931,-5.82664343,1.03119504,-0.133082904,9.29320802,0.376406123,3.68272484,7.30573357,1.31997588,12.4074683,12.4074683,16.0901931,16.0901931,5.4770092,10.6131839,9.29320802,1.31997588,9.29320802,9.29320802,7.30573357,1.98747446,3.68272484,3.68272484,12.4074683,12.4074683,16.0901931,16.0901931,16.0901931,16.0901931,16.0901931,0.0,0.0922802036,0.280104,6.96515317,0.0604764
0,0.0252427902,0.962196423,0.00922448325,66.2233189,0.00756487512,9.05357242,0.217742159,1191.66353,0.0258371267,736.611215,0.0320761585,1823.40846,15.7488704,4369.76102,15.7488704,15.7488704,-5.70304449,1.00932032,-0.12857289,9.09607228,0.368421407,3.60460287,7.15798581,1.2919753,12.1442675,12.1442675,15.7488704,15.7488704,5.36082281,10.3880476,9.09607228,1.2919753,9.09607228,9.09607228,7.15798581,1.93808647,3.60460287,3.60460287,12.1442675,12.1442675,15.7488704,15.7488704,15.7488704,15.7488704,15.7488704,0.0,0.09032262,0.280104,6.81740541,0.0604764
