,Country,Variable,In/Dec,SMR_EAC,SMR_TPC,SMR_REV
0,Brazil,HP,0.1,63554.79173754653,184595.00831273498,177036.93994799998
1,China,HP,0.1,93346.803278226,161315.62004175875,315805.998684
2,Saudi_Arabia,HP,0.1,59757.2052035785,56073.85289350791,161297.254668
3,Spain,HP,0.1,70596.43390082178,444178.3757871893,207459.78145199997
4,USA,HP,0.1,266671.0327678352,1600097.8449513896,1492854.0429
5,Brazil,E,0.1,63554.79173754653,184947.58033417148,160942.67268000002
6,China,E,0.1,93346.803278226,161611.5884791002,287096.36244
7,Saudi_Arabia,E,0.1,59757.2052035785,56168.331180908004,146633.86788
8,Spain,E,0.1,70596.43390082178,445053.3020366217,188599.80132
9,USA,E,0.1,266671.0327678352,1603245.7452873897,1357140.0389999999
10,Brazil,H,0.1,63554.79173754653,199213.81249912418,160942.67268000002
11,China,H,0.1,93346.803278226,173598.56786614758,287096.36244
12,Saudi_Arabia,H,0.1,59757.2052035785,59987.54542399234,146633.86788
13,Spain,H,0.1,70596.43390082178,480426.50818140607,188599.80132
14,USA,H,0.1,266671.0327678352,1730516.3469231739,1357140.0389999999
15,Brazil,C,0.1,63554.79173754653,187093.75576042544,160942.67268000002
16,China,C,0.1,93346.803278226,163415.10711483494,287096.36244
17,Saudi_Arabia,C,0.1,59757.2052035785,56742.80839788297,146633.86788
18,Spain,C,0.1,70596.43390082178,450374.15811662516,188599.80132
19,USA,C,0.1,266671.0327678352,1622389.87637442,1357140.0389999999
