,Country,Variable,In/Dec,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG
0,Brazil,CP,0.1,76036.9106988377,407276.8160317261,216778.65570040498,244365.84388039872
1,China,CP,0.1,115301.13626699774,348689.5776967737,490086.1343253968,539297.3309584493
2,Saudi_Arabia,CP,0.1,71098.52971539239,118524.44331149288,145557.38382538914,170691.8994544879
3,Spain,CP,0.1,85224.19730814798,1006110.3418004025,233188.6866277658,265516.58401487704
4,USA,CP,0.1,355897.1514849933,3589226.058412808,1576586.7145093887,1809214.129947601
5,Brazil,E,0.1,76036.9106988377,407276.8160317261,198508.06546777947,226095.2536477732
6,China,E,0.1,115301.13626699774,348689.5776967737,448095.52645532636,497306.72308837884
7,Saudi_Arabia,E,0.1,71098.52971539239,118524.44331149288,133633.62084407057,158768.13647316932
8,Spain,E,0.1,85224.19730814798,1006110.3418004025,213673.01854049563,246000.91592760687
9,USA,E,0.1,355897.1514849933,3589226.058412808,1445374.2186279425,1678001.6340661547
10,Brazil,H,0.1,76036.9106988377,430854.8055993736,198508.06546777947,226095.2536477732
11,China,H,0.1,115301.13626699774,368379.48384605435,448095.52645532636,497306.72308837884
12,Saudi_Arabia,H,0.1,71098.52971539239,124965.64897716405,133633.62084407057,158768.13647316932
13,Spain,H,0.1,85224.19730814798,1065578.1961366532,213673.01854049563,246000.91592760687
14,USA,H,0.1,355897.1514849933,3800041.7716222475,1445374.2186279425,1678001.6340661547
15,Brazil,C,0.1,76036.9106988377,423242.81787011883,198508.06546777947,226095.2536477732
16,China,C,0.1,115301.13626699774,362073.7007296841,448095.52645532636,497306.72308837884
17,Saudi_Arabia,C,0.1,71098.52971539239,122828.86908989873,133633.62084407057,158768.13647316932
18,Spain,C,0.1,85224.19730814798,1045926.8101039024,213673.01854049563,246000.91592760687
19,USA,C,0.1,355897.1514849933,3731792.5895869266,1445374.2186279425,1678001.6340661547
