,Country,Variable,In/Dec,WFGD_EAC,WFGD_TPC,WFGD_REV
0,Brazil,E,0.1,180020.35782791302,51537.07021896178,2220.99744025
1,China,E,0.1,254314.48826232672,59276.94014430914,3959.2059177500005
2,Saudi_Arabia,E,0.1,171074.00238602347,32972.69533455668,2045.22803125
3,Spain,E,0.1,198776.36791409974,89604.0110444618,2623.5656384999997
4,USA,E,0.1,647078.0477366003,310578.97408052225,18779.0972175
5,Brazil,H,0.1,180020.35782791302,53562.6921400455,2220.99744025
6,China,H,0.1,254314.48826232672,60972.79777570778,3959.2059177500005
7,Saudi_Arabia,H,0.1,171074.00238602347,33518.91695104661,2045.22803125
8,Spain,H,0.1,198776.36791409974,94657.1118917824,2623.5656384999997
9,USA,H,0.1,647078.0477366003,328655.4862397802,18779.0972175
10,Brazil,C,0.1,180020.35782791302,51862.72251593295,2220.99744025
11,China,C,0.1,254314.48826232672,59549.78392785026,3959.2059177500005
12,Saudi_Arabia,C,0.1,171074.00238602347,33060.58114054988,2045.22803125
13,Spain,C,0.1,198776.36791409974,90416.89786528365,2623.5656384999997
14,USA,C,0.1,647078.0477366003,313487.0944524846,18779.0972175
