,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,err
0,,,47645.4524,-5.76111309,47652.6964,0.19798437,25.4542424,-7.83012771,0.141239988,-1.97E-09,1.02E-09,0.639406783,3.41633751,3.63E-06,2.59852519,8.13E-86,9.13E-86,18.6577689,,0.000960432,
0,,,127770613,-1710.77014,54626.8941,-283.798592,34.1545176,-7.42357046,4.87441613,50.8875809,1.78667111,0.000772179,4.5265659,1.74E-07,0.021412932,2.54E-84,1.35E-77,24.7300773,,0.001272977,
0,,,78787.0614,-9.56477827,79008.2575,0.328253012,42.2032026,-12.982338,0.234173848,2.90E-07,8.89E-09,1.06013766,5.66429092,5.13E-05,4.30835751,1.50E-85,7.95E-85,30.934599,,0.001592398,
0,,,89934.9002,-11.491657,95158.1275,0.395354652,50.8297943,-15.6359575,0.282021291,1.17E-07,3.98E-09,1.27684203,6.82211647,1.12E-06,5.18902161,9.39E-86,3.56E-85,37.2578739,,0.001917896,
0,,,107972.913,-5602.90977,129384.016,1.08205537,66.7855473,-103.120331,1.14229863,1.18E-06,1.55E-06,6.39592048,7.99872392,1.49580447,6.05868775,4.11E-84,1.72E-83,43.691863,,0.002249054,
0,,,131790511,-2.07974E+11,55151730,1.61911E+11,74379604.1,-7927332.52,74379604.1,788737965,41143315.9,,,,,,,,,,
0,,,296419.716,-13.5694605,145237.26,-1.2192836,77.5668264,-23.7391554,0.414306035,0.059748834,0.002446258,1.95477937,10.4101056,0.011015119,7.92068216,1.35E-84,2.28E-79,56.8530116,,0.002926581,
0,,,4284693.06,-4689.06837,160202.227,-1.63315489,93.3005839,-36.0236364,8.18927225,0.194457131,0.002265305,1.85553944,11.6366935,,8.05120874,8.44E-87,2.90E-80,63.5645979,,0.003272018,
0,,,216769.138,-308924569,879950.352,-719.891069,480887.54,75855.0229,480425.112,0.009144219,0,1.15E-07,11.9039664,223.514257,156.983221,,,70.0234414,,0.003583477,
0,,,197200.96,-23.8335124,197181.764,-16.018172,105.375279,-32.3404088,0.624839792,0.411595866,0.027473955,2.63853664,14.1385329,2.68E-06,10.7540236,7.57E-86,2.38E-78,77.2153691,,0.003974759,
0,,,214884.482,69.7007409,215582.775,0.858342536,114.79033,-32.8172171,0.212614889,-4.19E-08,0,3.03026569,15.4068911,0.221968608,11.7738821,7.77E-85,,84.140376,,0.00433124,
0,4473.04975,3131.29177,8745.78697,35225.1432,8745.81515,3.33936578,4475.40336,-4708.75258,4475.40336,0.00097291,0.018225991,,,,,,,,,,
0,4473.04975,3131.29177,19778.0925,35195.8745,19852.5815,23.8515167,4485.24142,-4752.24102,4480.84345,-0.010665272,0.12587406,0.484528128,0.076461223,1.98E-11,0.263582911,6.42E-87,1.54E-83,3.57329852,5.01E-82,0.000105163,
0,4473.04975,3131.29177,40670.6297,35260.1632,40807.194,63.022585,4495.39443,-4808.07807,4481.28803,0.024628748,0.336195033,1.5447712,0.404921573,2.49E-11,1.03810422,3.00E-86,1.31E-82,11.1181917,1.60E-81,0.000409027,
0,4473.04975,3131.29177,62651.4025,35430.6679,62861.1044,47.4822784,4505.72803,-4868.02533,4481.32379,0.017988818,0.24634762,2.6601866,0.931310231,2.58E-10,1.99104761,4.30E-86,1.66E-82,18.8209322,2.75E-81,0.000764263,
