,Unnamed: 0,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,NO,NO2,AR,EAC,TPC,Revenue
47,0,4473.04975,3131.29177,46349.8534,32057.0737,52488.6664,211.120014,4547.27923,-5326.87596,4528.24326,0.00405188494,0.206098317,1.71482591,8.58394971,6.80528619e-11,1.86927374,7.54434841e-86,8.937314409999999e-83,5.94414146,1.80134151e-81,0.0152803,5.22864404e-05,0.90843982,119279.94375316243,36285.5086422876,875917.84725
48,0,4473.04975,3131.29177,64422.3284,31866.5868,71782.9043,255.987401,4562.45443,-5545.37883,4533.63388,0.00244283055,0.266315946,2.54566173,14.3203061,2.58575272e-09,2.70344835,1.36652705e-90,1.71472829e-82,7.93026525,2.67984217e-81,0.0192399517,9.29286529e-05,1.30153511,138814.52732833577,39266.86950373693,1131842.7705000003
49,0,4473.04975,3131.29177,84449.9906,31772.1092,92923.8772,291.378412,4577.89433,-5757.74592,4537.87698,0.000107277826,0.312515615,3.47987499,21.351239,6.68522981e-09,3.56733979,3.7603174399999997e-88,2.75122842e-82,9.89012508,3.6699645e-81,0.0231452525,0.000147988869,1.70548336,157977.32477120357,42232.60672566237,1328191.36375
50,0,4473.04975,3131.29177,105991.435,31749.6524,115505.943,321.442027,4593.57846,-5955.13323,4541.14706,-0.00248097411,0.359266497,4.50316438,29.5057749,1.14339141e-08,4.4458555,2.69060017e-90,4.0937797e-82,11.8349773,4.75643512e-81,0.0270401514,0.000218592183,2.11436162,176621.64398869555,45149.63273830568,1526882.61225
51,0,4473.04975,3131.29177,128704.072,31780.3225,139204.012,347.781654,4609.48019,-6134.59379,4543.6207,-0.00585676264,0.406665672,5.60069932,38.5987805,2.64780399e-09,5.33127207,4.6073500199999995e-89,5.764646150000001e-82,13.7721686,5.92339616e-81,0.0309429391,0.000305427253,2.52532906,194685.76467888008,47999.66650146285,1728329.106
52,0,4473.04975,3131.29177,152350.784,31850.3271,163804.29,371.66413,4625.5939,-6296.8242,4545.45881,-0.00837979975,0.45469668,6.76049651,48.4715293,1.34945633e-08,6.22107054,3.24183381e-90,7.782147170000001e-82,15.7090349,7.15797883e-81,0.034866512,0.000408990066,2.93768389,212178.49712441448,50777.95360132485,1932460.8900000001
53,0,4473.04975,3131.29177,176735.644,31950.4956,189113.821,393.915279,4641.88728,-6443.68269,4546.79074,-0.0110849141,0.496529253,7.97074167,58.9743039,1.64563292e-05,7.11370624,1.01911309e-83,1.0021935000000001e-81,17.6476803,8.44753219e-81,0.0388118537,0.000529397363,3.35075315,229110.22125498456,53482.10437967926,2110249.3252499998
54,0,4473.04975,3131.29177,201691.62,32071.568,215003.431,415.180907,4658.34639,-6577.59843,4547.72488,-0.0137757628,0.552323781,9.22253241,69.9926258,6.91174005e-09,8.00740651,1.83837229e-88,1.29021941e-81,19.5909034,9.78252189e-81,0.0427814715,0.00066669301,3.76459084,245505.30652935395,56111.80639450111,2347376.06925
55,0,4473.04975,3131.29177,227170.366,32210.8623,241402.067,435.791099,4674.96988,-6700.92217,4548.34116,-0.0164279919,0.601874354,10.5101101,81.4450985,1.69791194e-09,8.90444948,1.33098449e-88,1.6026786e-81,21.5418221,1.11567576e-80,0.0467789016,0.000820962561,4.17963757,261426.86398610153,58675.856120535485,2557966.0045000003
56,0,478593.375,335032.155,934904.513,3771054.94,934907.322,14.1571525,478617.129,-503722.613,478617.129,0.00333403338,0.0708049438,,,,,,,,,,,,921990.0382845115,2192278.1063274303,300921.01115000003
57,0,478593.375,335032.155,935131.735,3765212.43,935143.723,72.3174671,478714.597,-503883.003,478714.597,0.0170877468,0.36133348,,,,,,,,,,,,922103.8163618664,2189457.5944395894,1535667.29
58,0,478593.375,335032.155,935335.753,3759344.31,935355.286,130.802304,478812.517,-504044.144,478812.517,0.0312114908,0.653207696,,,,,,,,,,,,922209.4701431339,2186623.4138145405,2776132.7079999996
