Country,HDPE[kg/hr],LDPE[kg/hr],PP[kg/hr],PS[kg/hr],HEATER_T,pyro_EAC,pyro_TPC,pyro_REV_SMR,pyro_REV_NG,SMR_EAC,SMR_TPC,SMR_REV,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV,WFGD_EAC,WFGD_TPC,WFGD_REV
Spain,7,26,13,8,850,85234.90924,1058241.208,212167.2546,243844.4588,69650.9221,435312.4413,184803.5398,2993.283273,16833.95189,1950.319962,219056.8462,103070.3582,3085.6039
Spain,7,26,13,8,900,85246.06838,1113029.129,210763.3652,241770.0737,68670.00155,426175.4295,180891.8194,2946.689939,16480.28746,1909.03487,238693.1716,116735.0228,3561.093713
Spain,7,26,13,8,950,85258.02914,1170311.418,209811.9561,240151.0369,67686.38754,417076.2773,176996.8811,2900.078856,16128.07444,1867.928776,257816.4237,130617.7657,4050.142654
Spain,7,26,13,8,1000,85269.95046,1229945.953,209149.4422,238833.4032,66714.31448,408146.4546,173174.937,2854.124644,15782.41391,1827.59388,276531.8789,144760.1989,4550.351665
Spain,7,26,13,8,1050,85283.82607,1291835.654,208780.9497,237837.2888,65776.45676,399590.3143,169513.4491,2809.891139,15451.20965,1788.953738,294901.1755,159202.7159,5057.60387
Spain,7,26,13,8,1100,85297.92097,1355875.938,208545.1716,236998.0964,64868.50967,391363.2298,165993.1813,2767.167106,15132.75256,1751.803682,312982.1675,173825.6115,5586.152783
Spain,7,26,13,8,1150,85313.12806,1421995.857,208419.5924,236297.2781,63997.07917,383519.3428,162637.2956,2726.252283,14829.13028,1716.388792,330826.193,188724.7777,6126.735868
Spain,7,26,13,8,1200,85331.39091,1490140.415,208431.9142,235767.6184,63170.63474,376128.0727,159475.4445,2687.53178,14543.02797,1683.022071,348476.5065,203887.1007,6682.536163
USA,86,170,66,66,500,355623.995,2729504.997,1169492.487,1357059.943,229953.0696,1292515.781,1094241.098,12153.49272,50356.65681,11547.2945,108151.7826,27461.9691,951.7715923
USA,86,170,66,66,550,355675.5667,2768545.404,1251585.696,1459936.102,247147.6741,1434398.943,1215512.509,13356.25287,55906.29386,12828.05764,243793.1773,79197.37281,3675.983776
USA,86,170,66,66,600,355722.7355,2925004.582,1352735.479,1578009.36,260810.0783,1550017.267,1314175.069,14358.99204,60453.68573,13866.70387,343012.1199,126224.9588,6519.877273
USA,86,170,66,66,650,355770.8009,3088093.214,1460093.465,1698345.07,271117.9656,1638523.85,1389917.586,15140.83484,63919.62649,14667.2244,428369.7386,172172.1813,9443.609778
USA,86,170,66,66,700,355813.7365,3247904.519,1482168.682,1722607.758,272843.7842,1653389.526,1402717.331,15272.93201,64494.71193,14803.75011,505902.8958,217972.1107,12458.60347
USA,86,170,66,66,750,355854.1007,3413002.336,1462824.177,1699737.05,270063.3481,1629336.909,1382142.024,15058.03792,63551.23988,14586.47297,578312.5324,264042.313,15567.70351
USA,86,170,66,66,800,355897.1515,3589226.058,1449659.329,1682286.745,266671.0328,1600097.845,1357140.039,14798.37014,62403.87697,14322.58518,647078.0477,310578.9741,18779.09722
USA,86,170,66,66,850,355942.8817,3775713.453,1440874.2,1668823.189,262950.1796,1568175.069,1329845.278,14516.82509,61151.63475,14034.49224,713129.4748,357743.1615,22090.85795
USA,86,170,66,66,900,355994.2513,3971760.675,1435368.101,1658502.347,259101.1067,1535318.275,1301755.732,14229.03085,59863.06626,13738.03004,777107.6448,405731.9148,25485.2117
USA,86,170,66,66,950,356050.083,4176758.465,1432053.815,1650376.982,255234.0089,1502482.744,1273687.862,13943.31244,58575.68262,13441.8081,839405.5615,454468.9454,28988.59882
USA,86,170,66,66,1000,356111.7231,4390220.604,1430236.154,1643845.165,251423.6216,1470305.087,1246185.673,13665.03076,57314.4361,13151.56429,900360.8915,504093.5616,32584.50962
USA,86,170,66,66,1050,356188.7619,4611786.866,1429926.553,1639014.049,247748.4105,1439438.797,1219807.565,13399.57473,56104.89158,12873.1923,960217.2075,554631.7639,36274.9335
USA,86,170,66,66,1100,356279.6525,4841092.634,1430259.195,1635007.18,244201.4567,1409811.915,1194491.247,13146.05747,54944.23291,12606.02506,1019156.704,606434.7145,39988.32675
USA,86,170,66,66,1150,356397.9022,5077888.751,1431241.836,1631867.219,240813.2661,1381662.896,1170440.443,12906.26706,53841.7277,12352.21654,1077278.872,658515.4631,43943.6128
USA,86,170,66,66,1200,356561.6222,5321939.849,1432459.521,1629165.596,237574.7971,1354899.28,1147575.623,12679.19144,52793.73162,12110.92308,1134768.558,711893.1403,47922.6498
