,Country,HDPE[kg/hr],LDPE[kg/hr],Country.1,PP[kg/hr],PS[kg/hr],HEATER_T,CH4 flowrate,COOL2_HX_AREAC,COOL3_HX_AREAC,COOL4_HX_AREAC,COOL5_HX_AREAC,COMP2_BRAKE_POWER,COMP3_BRAKE_POWER,COMP4_BRAKE_POWER,COMP5_BRAKE_POWER,COOL2_HX_DUTY,COOL3_HX_DUTY,COOL4_HX_DUTY,COOL5_HX_DUTY,CO2,SMRCCU_EAC,SMRCCU_TPC,SMRCCU_REV
38,Saudi_Arabia,6,20,Saudi Arabia,10,6,900,3.84702417,0.008926234,0.009553854,0.009553854,0.012501138,0.216254712,0.210747903,0.192807937,0.05699639,50.34730783,53.88731911,53.88731911,70.5111033,7.27589947,2453.231926890323,2111.861651500366,1484.28349188
39,Saudi_Arabia,6,20,Saudi Arabia,10,6,950,3.76392138,0.008725738,0.009339261,0.009339261,0.012220344,0.211583213,0.206195362,0.188642932,0.055765164,49.25980704,52.72335414,52.72335414,68.98806494,7.11872012,2414.785188447,2068.508361685234,1452.21890448
40,Saudi_Arabia,6,20,Saudi Arabia,10,6,1000,3.68272484,0.00853017,0.009129941,0.009129941,0.011946451,0.207018871,0.201747247,0.184573465,0.054562179,48.19715277,51.58598271,51.58598271,67.49982401,6.96515317,2377.0306197613113,2026.1177297078302,1420.89124668
41,Saudi_Arabia,6,20,Saudi Arabia,10,6,1050,3.60460287,0.008342316,0.00892888,0.00892888,0.011683364,0.202627361,0.197467565,0.180658092,0.053404747,47.17467561,50.49161331,50.49161331,66.06785085,6.81740541,2340.52352887509,1985.3025080790492,1390.75070364
42,Saudi_Arabia,6,20,Saudi Arabia,10,6,1100,3.5297933,0.008162718,0.008736653,0.008736653,0.011431837,0.198422053,0.193369343,0.176908732,0.05229639,46.19553539,49.44362795,49.44362795,64.69657084,6.67592337,2305.392179407746,1946.190688395616,1361.88836748
43,Saudi_Arabia,6,20,Saudi Arabia,10,6,1150,3.45873517,0.007992385,0.008554344,0.008554344,0.011193288,0.194427626,0.189476632,0.173347389,0.051243613,45.2654691,48.448167,48.448167,63.39401857,6.54153803,2271.861622675502,1909.0145323591203,1334.47375812
44,Saudi_Arabia,6,20,Saudi Arabia,10,6,1200,3.39132762,0.00783104,0.008381655,0.008381655,0.010967325,0.190638412,0.185783908,0.169969009,0.050244923,44.38318383,47.50384663,47.50384663,62.15838332,6.41405671,2239.9048370007436,1873.725099742726,1308.46756884
45,Spain,7,26,Spain,13,8,500,5.14258772,0.012100311,0.012951106,0.012951106,0.016946413,0.28908288,0.281721541,0.257739928,0.076191083,67.31414354,72.04712405,72.04712405,94.27305516,9.7254119,3031.453831859882,17125.714816168547,1983.9840275999998
46,Spain,7,26,Spain,13,8,550,5.31560663,0.012529678,0.013410662,0.013410662,0.017547738,0.29880888,0.291199874,0.266411416,0.078754481,69.57079858,74.46244864,74.46244864,97.43348704,10.0531824,3106.001354490982,17696.298420599356,2050.8492096000004
47,Spain,7,26,Spain,13,8,600,5.38400632,0.012692971,0.013585437,0.013585437,0.017776429,0.302653866,0.294946949,0.26983952,0.07976787,70.41335845,75.36425043,75.36425043,98.6134871,10.1862263,3134.7347876950134,17913.6146353249,2077.9901652
