,Unnamed: 0,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,gypsum production,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,err,EAC,TPC,Revenue
18,0,18912367.5,13239320.8,36941857.8,149074502.0,36941858.0,91.0076922,18912432.7,-19903877.6,18912432.7,0.023860536,0.498657439,,,,,,,,,,,8070713.652128249,82242855.29170497,2119294.11575
19,0,18912367.5,13239320.8,36941857.8,149074270.0,36941858.0,114.066056,18912449.0,-19903885.9,18912449.0,0.029400175,0.624706816,,,,,,,,,,,8070714.956663297,82242753.11320582,2655003.968
20,0,18912367.5,13239320.8,36941857.8,149074031.0,36941858.0,139.357568,18912465.7,-19903894.4,18912465.7,0.036332012,0.760558224,,,,,,,,,,,8070716.293211007,82242648.60513748,3232372.452
21,0,18912367.5,13239320.8,36941857.8,149073792.0,36941858.0,161.862685,18912482.7,-19903903.1,18912482.7,0.042159566,0.885489676,,,,,,,,,,,8070717.653768071,82242542.73980673,3763331.1229999997
22,0,18912367.5,13239320.8,36941857.8,149073545.0,36941858.0,187.898401,18912499.9,-19903911.9,18912499.9,0.048442683,1.02548568,,,,,,,,,,,8070719.03033119,82242434.68285534,4358314.14
23,0,18912367.5,13239320.8,36941857.8,149073297.0,36941858.0,212.706226,18912517.4,-19903920.8,18912517.4,0.055308919,1.1608757,,,,,,,,,,,8070720.430903621,82242325.53886394,4933721.725000001
24,0,18912367.5,13239320.8,36941857.8,149073045.0,36941858.0,237.832682,18912535.1,-19903929.8,18912535.1,0.061657637,1.29801025,,,,,,,,,,,8070721.847482063,82242214.59064256,5516543.562499999
25,0,18912367.5,13239320.8,36941857.8,149072791.0,36941858.0,263.048957,18912553.0,-19903939.0,18912553.0,0.068126623,1.43586634,,,,,,,,,,,8070723.280066503,82242102.71578835,6102431.945
26,0,18912367.5,13239320.8,36941857.8,149072534.0,36941858.0,288.531926,18912571.1,-19903948.2,18912571.1,0.074712233,1.57521468,,,,,,,,,,,8070724.72865692,82241989.4981492,6694662.390000001
27,0,18912367.5,13239320.8,36941857.8,149072274.0,36941858.0,314.88351,18912589.4,-19903957.6,18912589.4,0.081086462,1.71851277,,,,,,,,,,,8070726.193253298,82241875.24483728,7303679.2725
28,0,,,4044.16983,-110861.099,2988.50002,-0.867529102,115.746669,-149.103829,114.336386,-7.42e-09,0.0,0.023500376,0.10690445,1.97e-06,0.035331452,1.65e-90,,1.24448663,,5.86e-05,,20651.36805239763,-51343.22434857663,0.0
29,0,,,17719.4425,-2.15393688,17750.6003,-0.006381645,9.49411984,-2.67743802,0.062478827,0.07724599,0.0488218,0.238506051,1.27292385,2.94e-10,0.968181598,1.58e-81,2.9700000000000003e-77,6.95167167,,0.000357847,,49937.0773084149,7772.981948099768,207492.65
30,0,,,34578980.5,-2720816500.0,1838566.09,-1.48362231,4417136.61,-659252.876,4417136.61,0.001189929,6.2e-06,,,,,,,,,,,3798083.0434338436,-1338559163.27256,26.349999999999998
31,0,,,47645.4524,-5.76111309,47652.6964,0.19798437,25.4542424,-7.83012771,0.141239988,-1.97e-09,1.02e-09,0.639406783,3.41633751,3.63e-06,2.59852519,8.13e-86,9.13e-86,18.6577689,,0.000960432,,90353.6495199615,14063.325949549086,0.004335
32,0,,,127770613.0,-1710.77014,54626.8941,-283.798592,34.1545176,-7.42357046,4.87441613,50.8875809,1.78667111,0.000772179,4.5265659,1.74e-07,0.021412932,2.54e-84,1.35e-77,24.7300773,,0.001272977,,5178462.736666718,805191.1006810727,7593352.2175
33,0,,,78787.0614,-9.56477827,79008.2575,0.328253012,42.2032026,-12.982338,0.234173848,2.9e-07,8.89e-09,1.06013766,5.66429092,5.13e-05,4.30835751,1.5e-85,7.95e-85,30.934599,,0.001592398,,122279.28751009546,19031.764669293036,0.037782500000000004
34,0,,,89934.9002,-11.491657,95158.1275,0.395354652,50.8297943,-15.6359575,0.282021291,1.17e-07,3.98e-09,1.27684203,6.82211647,1.12e-06,5.18902161,9.39e-86,3.56e-85,37.2578739,,0.001917896,,134561.13363738288,20942.94846079844,0.016915
35,0,,,107972.913,-5602.90977,129384.016,1.08205537,66.7855473,-103.120331,1.14229863,1.18e-06,1.55e-06,6.39592048,7.99872392,1.49580447,6.05868775,4.11e-84,1.72e-83,43.691863,,0.002249054,,156118.1788104441,21551.856035519948,6.5874999999999995
36,0,,,131790511.0,-207974000000.0,55151730.0,161911000000.0,74379604.1,-7927332.52,74379604.1,788737965.0,41143315.9,,,,,,,,,,,14060543.76143348,-22281380346.95861,174859092575000.0
37,0,,,296419.716,-13.5694605,145237.26,-1.2192836,77.5668264,-23.7391554,0.414306035,0.059748834,0.002446258,1.95477937,10.4101056,0.011015119,7.92068216,1.35e-84,2.2800000000000002e-79,56.8530116,,0.002926581,,223242.84537378768,34746.963855221235,10396.596500000001
38,0,,,4284693.06,-4689.06837,160202.227,-1.63315489,93.3005839,-36.0236364,8.18927225,0.194457131,0.002265305,1.85553944,11.6366935,,8.05120874,8.44e-87,2.9e-80,63.5645979,,0.003272018,,762975.5389086568,116468.08479276867,9627.546250000001
39,0,,,216769.138,-308924569.0,879950.352,-719.891069,480887.54,75855.0229,480425.112,0.009144219,0.0,1.15e-07,11.9039664,223.514257,156.983221,,,70.0234414,,0.003583477,,648921.3283368796,-151956276.3875225,0.0
