,CH4 flowrate,PUMP_BRAKE_POWER,COMP_BRAKE_POWER,HEAT1_HX_AREAC,HEAT1_HX_DUTY,HEAT2_HX_AREAC,HEAT2_HX_DUTY,COOL1_HX_AREAC,COOL1_HX_DUTY,HX1_HX_AREAC,HX1_HX_DUTY,HX2_HX_AREAC,HX2_HX_DUTY,DRUM_BAL_MASI_TFL,SMR_QCALC,SMR_BAL_MASI_TFL,WGS_BAL_MASI_TFL,PSA_QCALC,PSA_BAL_MOLI_TFL,VSA_QCALC,VSA_BAL_MASI_TFL,VSA_BAL_MOLI_TFL,CH4,CO2,H2,H2O,S1,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S2,S3,S4,S5,S6,S7,S8,S9,S9-1,S9-2,CH4,CO,CO2,H2,H2O
0,4.04229765,0.028307937,1.07902271,0.010478997,74.2669766,0.008505585,10.152913,0.246369074,1336.36501,0.028974353,826.055433,0.035971058,2044.81881,17.6612027,4900.36637,17.6612027,17.6612027,-6.39554365,1.13187856,-0.154034089,10.2005756,0.413157555,4.04229765,7.9857954,1.44885531,13.618905,13.618905,17.6612027,17.6612027,6.01177171,11.649431,10.2005756,1.44885531,10.2005756,10.2005756,7.9857954,2.21478025,4.04229765,4.04229765,13.618905,13.618905,17.6612027,17.6612027,17.6612027,17.6612027,17.6612027,0,0,0.280104,7.645215,0.0604764,0
0,3.95648715,0.027707012,1.05611706,0.010252146,72.6904261,0.008324037,9.93738938,0.240715865,1307.99477,0.028359364,808.519805,0.035207459,2001.41109,17.286288,4796.34066,17.286288,17.286288,-6.25978026,1.10785099,-0.149007626,9.98403821,0.404387006,3.95648715,7.82350629,1.41809898,13.3298009,13.3298009,17.286288,17.286288,5.88415081,11.4021372,9.98403821,1.41809898,9.98403821,9.98403821,7.82350629,2.16053192,3.95648715,3.95648715,13.3298009,13.3298009,17.286288,17.286288,17.286288,17.286288,17.286288,0,0,0.280104,7.48292589,0.0604764,0
0,3.8745741,0.027133381,1.03425176,0.01003578,71.1854813,0.008150777,9.73165691,0.235337905,1280.91214,0.027772354,791.780632,0.034478542,1959.97491,16.9284017,4697.03972,16.9284017,16.9284017,-6.13018436,1.0849148,-0.144224464,9.77733682,0.39601482,3.8745741,7.66859085,1.38873969,13.0538276,13.0538276,16.9284017,16.9284017,5.76232518,11.1660765,9.77733682,1.38873969,9.77733682,9.77733682,7.66859085,2.10874597,3.8745741,3.8745741,13.0538276,13.0538276,16.9284017,16.9284017,16.9284017,16.9284017,16.9284017,0,0,0.280104,7.32801045,0.0604764,0
0,3.79651934,0.026586768,1.01341637,0.009829771,69.7514229,0.007985714,9.53561515,0.230230076,1255.10506,0.027212999,775.829911,0.033783959,1920.49048,16.5873726,4602.41608,16.5873726,16.5873726,-6.00669285,1.06305896,-0.139680907,9.58037166,0.388036985,3.79651934,7.52097257,1.36076331,12.7908533,12.7908533,16.5873726,16.5873726,5.64623768,10.941135,9.58037166,1.36076331,9.58037166,9.58037166,7.52097257,2.05939908,3.79651934,3.79651934,12.7908533,12.7908533,16.5873726,16.5873726,16.5873726,16.5873726,16.5873726,0,0,0.280104,7.18039217,0.0604764,0
0,3.722593,0.026069067,0.993682987,0.009634806,68.3932137,0.007829415,9.34994339,0.225407404,1230.66248,0.026683251,760.722846,0.033126113,1883.09443,16.2643811,4512.79721,16.2643811,16.2643811,-5.88973358,1.04235914,-0.135391212,9.39382477,0.380481115,3.722593,7.38116332,1.33426668,12.5417881,12.5417881,16.2643811,16.2643811,5.53628962,10.7280915,9.39382477,1.33426668,9.39382477,9.39382477,7.38116332,2.01266145,3.722593,3.722593,12.5417881,12.5417881,16.2643811,16.2643811,16.2643811,16.2643811,16.2643811,0,0,0.280104,7.04058292,0.0604764,0
0,7.6796148,0.053779823,2.04994276,0.02027851,141.093463,0.016240642,19.2876548,0.506150515,2539.26939,0.055025021,1569.35191,0.06833833,3884.77597,33.5530051,9309.78601,33.553005,33.553005,-12.1497991,2.15032961,-0.375277086,19.3787173,0.78491724,7.6796148,14.8638946,2.75250748,25.8733902,25.8733902,33.5530051,33.5530051,11.4217803,22.1312248,19.3787173,2.75250748,19.3787173,19.3787173,14.8638946,4.51482277,7.6796148,7.6796148,25.8733902,25.8733902,33.553005,33.553005,33.553005,33.5530051,33.5530051,0,0,0.280104,14.5233142,0.0604764,0
0,8.09134063,0.056663112,2.15984598,0.021410961,148.657882,0.01712115,20.3216066,0.538293464,2675.45548,0.057972672,1653.48929,0.072002141,4093.04977,35.3518763,9808.90993,35.3518763,35.3518763,-12.8011215,2.26561147,-0.400865312,20.4176097,0.826998249,8.09134063,15.6423956,2.90007161,27.2605357,27.2605357,35.3518763,35.3518763,12.0341951,23.3176813,20.4176097,2.90007161,20.4176097,20.4176097,15.6423956,4.77521404,8.09134063,8.09134063,27.2605357,27.2605357,35.3518763,35.3518763,35.3518763,35.3518763,35.3518763,0,0,0.280104,15.3018152,0.0604764,0
0,8.19494306,0.057388632,2.18750089,0.021696681,150.561314,0.017345821,20.5874492,0.546059718,2707.30517,0.058833564,1674.66076,0.072924065,4145.45764,35.8045259,9934.50431,35.8045257,35.8045257,-12.9681275,2.29478772,-0.407457244,20.6817743,0.837617783,8.19494306,15.8449862,2.93747973,27.6095827,27.6095827,35.8045259,35.8045259,12.1852718,23.619254,20.6817743,2.93747973,20.6817743,20.6817743,15.8449862,4.83678809,8.19494306,8.19494306,27.6095827,27.6095827,35.8045257,35.8045257,35.8045257,35.8045259,35.8045259,0,0,0.280104,15.5044058,0.0604764,0
0,8.19172688,0.05736611,2.18664239,0.021687806,150.502224,0.017338935,20.5793684,0.54580531,2706.24258,0.058810474,1674.00352,0.072895445,4143.83072,35.7904739,9930.60542,35.7904739,35.7904739,-12.9630381,2.29388713,-0.407256951,20.6736578,0.837289054,8.19172688,15.8389023,2.93632694,27.598747,27.598747,35.7904739,35.7904739,12.1804891,23.6099848,20.6736578,2.93632694,20.6736578,20.6736578,15.8389023,4.83475555,8.19172688,8.19172688,27.598747,27.598747,35.7904739,35.7904739,35.7904739,35.7904739,35.7904739,0,0,0.280104,15.4983219,0.0604764,0
0,8.11717838,0.056844052,2.16674293,0.021482189,149.132585,0.017179349,20.392086,0.539919304,2681.61461,0.058275272,1658.76931,0.072232063,4106.11994,35.4647641,9840.23232,35.4647641,35.4647641,-12.8450678,2.27301167,-0.402614789,20.4855175,0.829669331,8.11717838,15.6978592,2.90960495,27.3475857,27.3475857,35.4647641,35.4647641,12.0696416,23.3951225,20.4855175,2.90960495,20.4855175,20.4855175,15.6978592,4.78765832,8.11717838,8.11717838,27.3475857,27.3475857,35.4647641,35.4647641,35.4647641,35.4647641,35.4647641,0,0,0.280104,15.3572788,0.0604764,0
