Country,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,
Brazil,15.6699286,10.9694998,269132.2,1947.34983,276987.377,205.616828,143.99601,-347.902264,6.29766922,0.145726968,13.2154294,16.7390804,0.000589802,13.5573747,3.80E-84,3.81E-78,94.1324848,5.73E-80,0.053381825,0.953719012,4.28E-06
China,0.444443821,0.311126269,7635.27496,55.3746109,7858.08561,5.81115341,4.08411868,-9.88513437,0.177981654,0.0040332,0.375204176,0.474767978,0.000210963,0.38457445,2.26E-87,1.07E-79,2.6698654,1.62E-81,0.001514061,0.026840489,5.40E-05
China,2.29938359,1.60964919,39491.4839,285.783048,40645.1462,29.4056808,21.131245,-51.0369131,0.925965318,0.021317368,1.93878029,2.45626658,0.000129805,1.98940077,4.33E-87,5.62E-79,13.812869,8.39E-81,0.007833173,0.141200239,6.42E-06
China,4.21048575,2.94748775,72316.5495,523.274319,74424.7441,54.4502672,38.6930452,-93.4655605,1.69415223,0.039089422,3.55048881,4.49776218,0.000191859,3.64285367,2.18E-87,1.03E-78,25.2932528,1.54E-80,0.014343613,0.25758383,5.19E-06
China,6.17340662,4.32160124,106026.421,767.124722,109120.54,81.0062333,56.7294258,-137.053876,2.48134231,0.057469705,5.20625569,6.59461546,0.000145717,5.34111221,1.42E-84,1.50E-78,37.0849238,2.26E-80,0.021030582,0.375770201,2.69E-06
China,8.18390838,5.72902301,140560.466,1016.99515,144652.505,106.332512,75.2065221,-181.670675,3.29186996,0.076175212,6.90124161,8.74229009,0.000247705,7.08057277,2.74E-87,1.99E-78,49.1624203,2.99E-80,0.027879639,0.499423657,3.44E-06
China,10.2379542,7.16692713,175838.073,1272.24113,180967.369,134.340125,94.0798597,-227.294888,4.1148535,0.095266282,8.63414903,10.9364851,0.000302371,8.85769546,2.42E-84,2.49E-78,61.5014971,3.74E-80,0.034877037,0.623151387,3.36E-06
China,12.3322969,8.63304051,211808.133,1532.49424,217987.689,161.821528,113.325451,-273.791021,4.95663661,0.114758829,10.400395,13.1737239,0.000357616,10.6696818,2.94E-84,3.00E-78,74.0826446,4.51E-80,0.042011712,0.750634858,3.30E-06
China,14.4632723,10.124798,248415.645,1797.53798,255658.742,189.783582,132.907631,-321.129685,5.81207579,0.134379045,12.198154,15.4500942,0.000739956,12.5134437,3.42E-84,3.51E-78,86.8838519,5.29E-80,0.04927118,0.880152351,5.82E-06
China,16.6280416,11.6402125,285576.018,2066.05524,293917.456,218.189165,152.800481,-369.130047,6.68435109,0.154961743,14.0225249,17.7625659,0.000130449,14.3861949,4.05E-84,4.04E-78,99.8880675,6.08E-80,0.056645774,1.01232313,8.93E-07
